"transect","point","type","geometry"
"D",1800,"upland",c(-122.18136796474, 46.2459813994574)
"D",1850,"upland",c(-122.182081491637, 46.2459775079226)
"D",1900,"upland",c(-122.182704356651, 46.2459639636608)
"D",1950,"upland",c(-122.183339791539, 46.2459775058007)
"D",2000,"upland",c(-122.184001168374, 46.245991229621)
"D",2050,"upland",c(-122.184636470656, 46.2460137635935)
"D",2150,"upland",c(-122.185934083559, 46.2459870133603)
"E",0,"upland",c(-122.158051276104, 46.241267011878)
"E",50,"upland",c(-122.158829314391, 46.2412817408685)
"E",100,"upland",c(-122.15937390025, 46.2412947477079)
"E",150,"upland",c(-122.160126274831, 46.2412912790913)
"E",200,"upland",c(-122.160645470904, 46.2412680932715)
"E",250,"upland",c(-122.161423235926, 46.2413008025906)
"E",300,"upland",c(-122.161955401235, 46.241277705974)
"E",350,"upland",c(-122.162720197676, 46.2413103113661)
"E",400,"upland",c(-122.16330396748, 46.2413055865101)
"E",450,"upland",c(-122.164017160079, 46.2413198054181)
"E",500,"upland",c(-122.164587823743, 46.2413239781366)
"E",550,"upland",c(-122.165314123135, 46.2413292847466)
"E",600,"upland",c(-122.165871953833, 46.2413243573236)
"E",650,"upland",c(-122.166611086842, 46.2413387493514)
"E",700,"upland",c(-122.167194720723, 46.2413430036201)
"E",750,"upland",c(-122.1679080512, 46.2413481992327)
"E",800,"upland",c(-122.168478851681, 46.2413433535028)
"E",850,"upland",c(-122.169205016208, 46.2413576343905)
"E",900,"upland",c(-122.169736636296, 46.2413704975656)
"E",950,"upland",c(-122.170501981863, 46.2413670548248)
"E",1000,"upland",c(-122.171059677295, 46.2413711010849)
"E",1050,"upland",c(-122.171798948167, 46.2413764605357)
"E",1100,"upland",c(-122.172278419854, 46.2414069339827)
"E",1150,"upland",c(-122.173095915116, 46.241385851523)
"E",1200,"upland",c(-122.173639695631, 46.2414527845219)
"E",1250,"upland",c(-122.174392882712, 46.2413952277869)
"E",1300,"upland",c(-122.174963009067, 46.2414353447905)
"E",1350,"upland",c(-122.175689850951, 46.2414045893274)
"E",1400,"upland",c(-122.176259709067, 46.2414626979261)
"E",1450,"upland",c(-122.176986819834, 46.2414139361445)
"E",1500,"upland",c(-122.177556813978, 46.2414630392487)
"E",1550,"upland",c(-122.17828378936, 46.2414232682382)
"E",1600,"upland",c(-122.178906200707, 46.2414367414503)
"E",1650,"upland",c(-122.179580759526, 46.2414325856085)
"E",1700,"upland",c(-122.180163726073, 46.2414817688199)
"E",1750,"upland",c(-122.180877730334, 46.2414418882555)
"E",1800,"upland",c(-122.181434624939, 46.241499878122)
"E",1850,"upland",c(-122.18217470178, 46.2414511761792)
"E",1900,"upland",c(-122.18277130886, 46.24145544368)
"E",1950,"upland",c(-122.183471673865, 46.2414604493795)
"E",2100,"upland",c(-122.185391326913, 46.2414651476445)
"E",2200,"upland",c(-122.186675064661, 46.2414922901427)
"F",0,"upland",c(-122.158082381147, 46.2316012291176)
"F",50,"upland",c(-122.158767311627, 46.2317592730012)
"F",100,"upland",c(-122.1594005139, 46.2319079322992)
"F",150,"upland",c(-122.159876874583, 46.2321364354194)
"F",200,"upland",c(-122.160444835143, 46.2323116093611)
"F",250,"upland",c(-122.161025766886, 46.2324868756911)
"F",300,"upland",c(-122.161619532903, 46.2326712332236)
"F",350,"upland",c(-122.162238690439, 46.2328917738539)
"F",400,"upland",c(-122.162807350662, 46.2330219410644)
"F",450,"upland",c(-122.163414096234, 46.2332063843208)
"F",500,"upland",c(-122.16398221594, 46.2333725417756)
"F",550,"upland",c(-122.164562487541, 46.2335927853163)
"F",600,"upland",c(-122.1651699277, 46.2337322242241)
"F",650,"upland",c(-122.165776552794, 46.2339256540323)
"F",700,"upland",c(-122.166292542897, 46.2341094194759)
"F",750,"upland",c(-122.166899176157, 46.2343028433636)
"F",800,"upland",c(-122.16748069418, 46.2344420809968)
"F",850,"upland",c(-122.168063031141, 46.234527321547)
"F",900,"upland",c(-122.168656979042, 46.2347026437125)
"F",950,"upland",c(-122.169277138608, 46.2348601532811)
"F",1000,"upland",c(-122.169845293412, 46.2350262817587)
"FORSYTH.E",0,"riparian",c(-122.165044, 46.229564)
"FORSYTH.E",30,"riparian",c(-122.16497784, 46.22973902)
"FORSYTH.E",80,"riparian",c(-122.16448842, 46.23002895)
"FORSYTH.E",130,"riparian",c(-122.16397997, 46.23030312)
"FORSYTH.W",0,"riparian",c(-122.16497205, 46.22989995)
"FORSYTH.W",50,"riparian",c(-122.16445087, 46.2301644)
"FORSYTH.W",100,"riparian",c(-122.16434383, 46.23063806)
"REDROCK.E",0,"riparian",c(-122.15909726, 46.23805714)
"REDROCK.E",50,"riparian",c(-122.15933187, 46.23851152)
"REDROCK.E",100,"riparian",c(-122.15924378, 46.23890463)
"REDROCK.W",0,"riparian",c(-122.15930153, 46.23762195)
"REDROCK.W",50,"riparian",c(-122.15924, 46.238032)
"REDROCK.W",100,"riparian",c(-122.15943857, 46.23849224)
"WILSPR.E",0,"riparian",c(-122.16420427, 46.2433136)
"WILSPR.E",50,"riparian",c(-122.163636, 46.243374)
"WILSPR.E",88,"riparian",c(-122.163428, 46.243676)
"WILSPR.E",100,"riparian",c(-122.1632261, 46.24375298)
"WILSPR.W",0,"riparian",c(-122.16430016, 46.2433566)
"WILSPR.W",50,"riparian",c(-122.163707, 46.243486)
"WILSPR.W",80,"riparian",c(-122.163534, 46.243727)
"WILSPR.W",100,"riparian",c(-122.16327, 46.243783)
