"year","month","precip"
2009,"May",18.03
2009,"Jun",7.87
2009,"Jul",0
2009,"Aug",6.1
2009,"Sep",10.67
2009,"Oct",21.84
2010,"May",24.13
2010,"Jun",22.1
2010,"Jul",0.51
2010,"Aug",1.02
2010,"Sep",13.72
2010,"Oct",20.32
2011,"May",18.03
2011,"Jun",10.41
2011,"Jul",2.03
2011,"Aug",0.25
2011,"Sep",6.35
2011,"Oct",18.8
