"transect","point","plantid","stemid","habitat","sex","plant","stem","site09","site10","site11","br09","br10","br11","tbd09","tbd10","tbd11","gr09","gr10","tbd09.sd","tbd10.sd","tbd11.sd","gr09.sd","gr10.sd","repro09","repro10","repro11","borer1.09","borer2.09","borer1.10","borer2.10","borer1.11","borer2.11","tbd1.mean","tbd1.sd","tbd2.mean","tbd2.sd","rgr.mean","rgr.sd"
"FORSYTH.E",0,146,"525",0,1,1,1,1,1,0,3,3,0,59.1846017458514,63.9417169742315,NA,0.0773105937559029,NA,1.10045075568592,1.2846943270733,NA,-1.0788508944461,NA,1,0,NA,1,1,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"527",0,1,1,2,1,0,0,1,0,0,15.9479251151915,NA,NA,NA,NA,-0.574110261846273,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"528",0,1,1,3,1,1,1,1,1,1,21.1755558693461,23.1362393934296,24.9993354421728,0.0885527017468553,0.0774490490525919,-0.371643574831015,-0.295706096444444,-0.223548191205925,-0.870140481877175,-1.07628046351646,0,0,0,0,0,1,1,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"529",0,1,1,4,0,0,1,0,0,1,NA,NA,12.0771780756696,NA,0.0985891191638735,NA,NA,-0.724024700379116,NA,-0.683813787496935,0,NA,0,NA,NA,NA,NA,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"530",0,1,1,5,1,1,1,1,1,1,24.8546666264818,27.8352071726301,32.3655544409095,0.113256137768023,0.150793058239954,-0.229151229600347,-0.113714581858212,0.0617462426669694,-0.411519702927405,0.285355488501886,0,0,0,0,0,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"531",0,1,1,6,0,1,1,0,1,1,NA,12.2299958091036,13.4462070502909,0.099507685415575,0.0948054555559215,NA,-0.718106053546424,-0.671002064704402,-0.66676054965944,-0.754057730472153,0,0,0,NA,NA,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"533",0,1,1,7,0,1,1,0,1,1,NA,12.4115085011658,13.664043039522,0.098679467061134,0.0961436397685462,NA,-0.711076047958552,-0.66256525401014,-0.68213647333778,-0.729214259893956,0,0,0,NA,NA,0,0,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",0,146,"833",0,1,1,8,1,1,1,4,4,4,91.8929643182677,100.575702592951,112.681980174536,0.0902862351585805,0.11365881271486,2.36724906627202,2.70353242968643,3.17240982927754,-0.837957329584529,-0.404044018264606,0,0,0,0,0,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"3440",0,0,2,9,1,1,1,1,1,1,21.9015379191138,23.6937268046098,25.5267354490771,0.0786534623415229,0.0745160305936117,-0.343526213953489,-0.274114550579301,-0.203121933661842,-1.05392045820086,-1.1307321280209,0,0,0,0,0,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"536",0,0,2,10,1,1,1,2,2,2,46.4131040261983,50.5377582288206,53.8990592464087,0.0851389108830314,0.0643922794766598,0.605809310425842,0.76555759999752,0.89574114070594,-0.933517715060322,-1.31868017780522,1,1,1,0,0,1,1,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"537.3425",0,0,2,11,1,1,0,1,1,0,22.3948548832283,24.4499220018463,NA,0.0877957860426952,NA,-0.324419996228892,-0.244827031333678,NA,-0.884192667554655,NA,0,1,NA,1,1,1,1,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"537.3435",0,0,2,12,1,1,0,1,1,0,12.5473707694565,13.9420508091884,NA,0.105398368195431,NA,-0.705814088067956,-0.651797983953027,NA,-0.557399668738725,NA,0,0,NA,NA,NA,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"537.537",0,0,2,13,1,0,0,1,0,0,24.0402427351413,NA,NA,NA,NA,-0.260693952271555,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"538",0,0,2,14,1,0,0,6,0,0,116.556667186186,NA,NA,NA,NA,3.32247686334387,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"539",0,0,2,15,1,1,1,1,1,1,16.6372388238886,18.4975069741307,20.4510149880379,0.105992479288718,0.100396549075555,-0.547413069661612,-0.475364689228436,-0.399705119103057,-0.546369960476574,-0.650258742227836,0,0,1,0,0,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"540",0,0,2,16,1,1,1,1,1,1,28.5843185499568,32.7272223680129,37.0777069175925,0.135348954891452,0.124808677401076,-0.084701419700146,0.0757536793900205,0.244248401968586,-0.00136522119215789,-0.197046108208877,1,1,1,0,0,1,0,1,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"541",0,0,2,17,1,1,1,1,1,1,30.1283478032124,33.7842627294053,36.8360582655647,0.114528578308644,0.0864821152718602,-0.0249010048921867,0.116692963374918,0.234889324348405,-0.387896767583235,-0.908581044608261,1,1,1,0,0,0,0,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"543",0,0,2,18,1,0,0,1,1,0,58.4373517945076,60.4368466265205,NA,0.0336436915164011,NA,1.07150968675127,1.14895033116175,NA,-1.88952956692889,NA,0,NA,NA,1,1,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"544",0,0,2,19,1,1,1,1,1,1,29.5739957218674,32.1658766342814,35.1672093995898,0.0840107064902114,0.0892079385096882,-0.0463711191041986,0.0540127002880724,0.170254632857508,-0.954462897625465,-0.857975971875024,1,1,1,0,0,1,1,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"545.3441",0,0,2,20,1,1,0,1,1,0,12.6861142466299,14.0374135094067,NA,0.101218129753438,NA,-0.700440538655355,-0.648104576578628,NA,-0.635006047414951,NA,0,0,NA,NA,NA,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"545.545",0,0,2,21,1,1,0,1,1,0,20.0224442369079,21.8094457688151,NA,0.085489311908225,NA,-0.416303709212729,-0.347092952586717,NA,-0.927012498904101,NA,1,0,NA,0,0,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"546",0,0,2,22,1,1,1,3,3,3,51.4297014527322,58.501414374414,67.2107587360648,0.128835076440494,0.138782403667535,0.80010265454399,1.07399083718543,1.41130465713667,-0.122295767315496,0.0623769623171293,1,1,1,0,0,0,0,1,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"547.3436",0,0,2,23,1,1,0,1,1,0,15.6858751263424,17.0955967849524,NA,0.0860602984705201,NA,-0.5842594853798,-0.529660817789214,NA,-0.916412098953857,NA,0,1,NA,0,0,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"547.3438",0,0,2,24,1,1,0,1,1,0,23.2124883830951,25.697384314362,NA,0.101698782850507,NA,-0.292752965083059,-0.196512685223689,NA,-0.626082693692259,NA,0,0,NA,0,1,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"547.3439",0,0,2,25,1,1,0,1,1,0,12.7046016378017,14.0678989369331,NA,0.101931269165931,NA,-0.699724520057613,-0.64692387277536,NA,-0.621766571231265,NA,0,1,NA,NA,NA,1,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"547.3442",0,0,2,26,1,1,0,1,1,0,17.4361761051364,19.7595467422076,NA,0.125089619495995,NA,-0.516470145022444,-0.4264857567367,NA,-0.191830401280467,NA,0,1,NA,0,0,0,0,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"547.547",0,0,2,27,1,0,0,1,0,0,39.0173892468678,NA,NA,NA,NA,0.319372501879103,NA,NA,NA,NA,1,NA,NA,0,1,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"548",0,0,2,28,1,1,1,1,1,1,31.9270342114789,37.6807991345273,43.1845747160527,0.165697539599252,0.13633270679176,0.0447623082199104,0.267606226740433,0.48076803186244,0.562058083435899,0.016898192141346,1,1,1,0,0,0,0,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",4,133,"549",0,0,2,29,1,1,1,1,1,1,30.4057018098158,37.5438896457745,43.9015660721751,0.210880488798765,0.15643935391343,-0.0141590551470233,0.262303707891583,0.508537182232773,1.40088225912436,0.39017930806008,1,1,1,0,0,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,137,"551",0,1,3,30,1,1,1,3,3,4,93.4519916760306,103.654903549179,124.855235482697,0.103619300066587,0.0794573500088633,2.4276303592395,2.82279020545154,3.64388128323889,-0.590428175799684,-1.03899623519528,1,1,1,1,1,1,1,1,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,137,"552",0,1,3,31,1,1,1,3,3,3,86.4660616661204,93.0225362695266,101.679554953491,0.0730898030084823,0.0889844606630392,2.15706455776186,2.41099750633447,2.74628474730468,-1.15721012911723,-0.862124851570155,1,1,1,1,1,0,1,1,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"550",0,1,4,32,1,0,0,1,1,1,22.1105760571867,24.6561510835639,26.639717193459,0.108970357541338,0.0773768235365577,-0.335430144956685,-0.236839757383927,-0.160016034050556,-0.491085471198901,-1.07762133457566,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"554",0,1,4,33,0,0,0,0,1,1,NA,13.2423809747129,14.4486760079828,0.105680297972311,0.0871804183474185,NA,-0.678896269974508,-0.632176336904441,-0.55216562543515,-0.895617005914164,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"556",0,1,4,34,1,0,0,1,1,1,37.852341666879,41.9217484211158,45.5359627045727,0.102111902667679,0.0826976552134155,0.274250086997749,0.431858637102985,0.571837535106288,-0.618413099382045,-0.978839773734889,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"557",0,1,4,35,1,0,0,2,2,2,41.993995870613,46.4860073620832,50.8941412734252,0.101624697761607,0.0905964638841814,0.434656788394253,0.608632864265647,0.779360352667486,-0.627458087833818,-0.832197914591984,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"558",0,1,4,36,1,0,0,1,1,1,29.6782335527617,32.7236803930789,36.4138840380014,0.0976850867484256,0.106851144672285,-0.0423339769885167,0.0756164983295935,0.218538472266887,-0.700597203788227,-0.530428785867057,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"559",0,1,4,37,1,0,0,1,1,1,16.5845702240933,18.3528191800352,20.0794687360029,0.101310437956947,0.0899146406136544,-0.54945293005187,-0.480968462658451,-0.414095144386052,-0.633292340052103,-0.84485600471221,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"560",0,1,4,38,1,0,0,1,1,1,23.7193497439423,26.2570283639238,31.5010594963588,0.101642540473513,0.182087479674144,-0.273122171453416,-0.174837612527985,0.0282642628569916,-0.627126836811662,0.866338308974009,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"561.561",0,1,4,39,1,0,0,1,1,0,38.8390087677606,43.0198851276528,NA,0.102237331443029,NA,0.31246380722726,0.474389586842636,NA,-0.616084506606341,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"561.703",0,1,4,40,1,0,0,1,1,1,28.5420672514954,31.6828159159303,35.2171461904267,0.104395406326573,0.105758622456944,-0.0863378169179081,0.0353037080368447,0.172188690000486,-0.576019716296411,-0.550711526656238,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"561.704",0,1,4,41,0,0,0,0,1,0,NA,12.9748452935771,NA,0.104001649523198,NA,NA,-0.689257954945254,NA,-0.583329835088229,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"562",0,1,4,42,1,0,0,1,1,1,27.21665202583,30.1107093931298,34.1505380128521,0.101051909455132,0.125897438028481,-0.13767128752441,-0.0255841423633623,0.130878843492048,-0.63809193727339,-0.176833201526487,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"563",0,1,4,43,1,0,0,1,1,1,12.3208059462388,13.6745530207331,15.1285098583905,0.10424728822432,0.10104437184475,-0.714588967417387,-0.662158201336286,-0.605846300624913,-0.578769537793853,-0.638231873464513,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"564",0,1,4,44,1,0,0,1,1,1,28.018984154387,31.0821804495759,34.0785590142586,0.103752393126762,0.0920337395478374,-0.106596880093141,0.0120410334724659,0.128091089332419,-0.58795729511418,-0.805514805251783,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"577",0,1,4,45,1,0,0,1,1,1,24.0224943025951,26.6579917385395,29.163137102087,0.104098329276556,0.0898165004536939,-0.261381350924278,-0.159308259004235,-0.0622837165102978,-0.581534969638912,-0.846677982698137,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",9,152,"705",0,1,4,46,1,0,0,2,2,0,41.705546801517,46.3292279116438,NA,0.105138897531552,NA,0.423485125715876,0.602560779718106,NA,-0.56221675725551,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",30,134,"566",0,1,5,47,1,1,1,1,1,1,18.2040019437181,20.4785965096362,23.4339979257552,0.11773881109149,0.134807602711517,-0.486732169818511,-0.398636883880739,-0.284173877279467,-0.328298602444694,-0.0114154570474236,0,1,1,0,0,0,0,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",30,134,"567",0,1,5,48,1,1,1,2,2,2,43.8962113431549,48.6727887814894,54.7509645977011,0.103292107629735,0.117674864755879,0.508329793016592,0.693327137835338,0.928735524249509,-0.596502523114238,-0.329485770020234,1,1,1,1,1,1,1,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",46,136,"4129",0,0,6,49,1,0,0,1,1,1,16.6126210326547,18.4703192907602,20.4700489359491,0.106002371404274,0.102797709233575,-0.548366519296289,-0.47641767105491,-0.39896793230551,-0.546186312754943,-0.605681059143163,0,NA,NA,NA,NA,NA,NA,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",46,136,"568",0,0,6,50,1,1,1,2,2,2,32.4123929640684,35.628630765791,39.4479947829575,0.0946087010732075,0.101833667042248,0.0635603035780478,0.188125530731955,0.336049899423528,-0.757710489304844,-0.62357856054126,1,1,1,0,0,1,1,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",46,136,"570",0,0,6,51,1,1,1,1,1,1,18.7095480257911,20.5192284217686,22.1234675495087,0.0923284351487781,0.0752765068788479,-0.46715231707365,-0.397063205665228,-0.334930856107898,-0.800043763654952,-1.1166138399411,1,1,1,1,1,1,1,1,1,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",46,136,"835.835",0,0,6,52,1,1,0,1,1,0,18.4288768993536,20.4978993435593,NA,0.106403578745061,NA,-0.478022739217655,-0.397889283099774,NA,-0.538737874286935,NA,0,1,NA,0,0,1,1,NA,NA,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
"FORSYTH.E",53,140,"572",0,1,7,53,1,1,1,1,1,1,15.5484430572857,17.0825358834144,18.8246764319412,0.0940961395865938,0.0971119370623401,-0.589582243818593,-0.530166667874693,-0.462693381836872,-0.767226224202977,-0.71123776226204,1,0,0,0,1,0,1,0,0,16.7614843605235,6.64796989573148,30.7712844803653,25.8197080775103,0.135422492018253,0.0538646244457959
