"ec5","vwc","kpa"
590,0.00862745098039225,130000
595,0.0248039215686275,1370
611,0.0353921568627452,970
621,0.0466666666666666,320
655,0.0867647058823531,79.7
690,0.107254901960784,58.3
718,0.141274509803921,37.9
733,0.145588235294118,24.7
775,0.198725490196079,9.7
865,0.255098039215686,1.4
